N,P,K,temperature,humidity,ph,rainfall,label
90.0,42.0,43.0,20.88,82.003,6.503,202.936,Rice
85.0,58.0,41.0,21.77,80.32,7.038,226.656,Rice
60.0,55.0,44.0,23.004,82.321,7.84,263.964,Rice
74.0,35.0,40.0,26.491,80.158,6.98,242.864,Rice
78.0,42.0,42.0,20.13,81.605,7.628,262.717,Rice
69.0,37.0,42.0,23.058,83.37,7.073,251.055,Rice
69.0,55.0,38.0,22.709,82.639,5.701,271.325,Rice
94.0,53.0,40.0,20.278,82.894,5.719,241.974,Rice
89.0,54.0,38.0,24.516,83.535,6.685,230.446,Rice
68.0,58.0,38.0,23.224,83.033,6.336,221.209,Rice
91.0,53.0,40.0,26.527,81.418,5.386,264.615,Rice
90.0,46.0,42.0,23.979,81.451,7.503,250.083,Rice
78.0,58.0,44.0,26.801,80.887,5.109,284.436,Rice
93.0,56.0,36.0,24.015,82.057,6.984,185.277,Rice
94.0,50.0,37.0,25.666,80.664,6.948,209.587,Rice
60.0,48.0,39.0,24.282,80.3,7.042,231.086,Rice
85.0,38.0,41.0,21.587,82.788,6.249,276.655,Rice
91.0,35.0,39.0,23.794,80.418,6.971,206.261,Rice
77.0,38.0,36.0,21.865,80.192,5.954,224.555,Rice
88.0,35.0,40.0,23.579,83.588,5.854,291.299,Rice
89.0,45.0,36.0,21.325,80.475,6.442,185.497,Rice
76.0,40.0,43.0,25.157,83.117,5.07,231.384,Rice
67.0,59.0,41.0,21.948,80.974,6.013,213.356,Rice
83.0,41.0,43.0,21.053,82.678,6.254,233.108,Rice
98.0,47.0,37.0,23.484,81.333,7.375,224.058,Rice
66.0,53.0,41.0,25.076,80.524,7.779,257.004,Rice
97.0,59.0,43.0,26.359,84.044,6.287,271.359,Rice
97.0,50.0,41.0,24.529,80.545,7.071,260.263,Rice
60.0,49.0,44.0,20.776,84.498,6.245,240.081,Rice
84.0,51.0,35.0,22.302,80.644,6.043,197.979,Rice
73.0,57.0,41.0,21.447,84.944,5.825,272.202,Rice
92.0,35.0,40.0,22.179,80.331,6.357,200.088,Rice
85.0,37.0,39.0,24.528,82.737,6.364,224.676,Rice
98.0,53.0,38.0,20.267,81.639,5.015,270.442,Rice
88.0,54.0,44.0,25.735,83.883,6.149,233.132,Rice
95.0,55.0,42.0,26.795,82.148,5.951,193.347,Rice
99.0,57.0,35.0,26.758,81.177,5.96,272.3,Rice
95.0,39.0,36.0,23.863,83.153,5.561,285.249,Rice
60.0,43.0,44.0,21.019,82.952,7.416,298.402,Rice
63.0,44.0,41.0,24.173,83.729,5.583,257.034,Rice
62.0,42.0,36.0,22.781,82.067,6.43,248.718,Rice
64.0,45.0,43.0,25.63,83.528,5.535,209.9,Rice
83.0,60.0,36.0,25.597,80.145,6.904,200.835,Rice
